id,query,filing_name,ticker,issue_time,usgaap_concept,period,gt_answer
mr_18,Please audit the value of us-gaap:Assets for 2022-12-31 in the 10k filing released by htz on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,htz,2023-12-31,us-gaap:Assets,2022-12-31,"{'extracted_value': '-1000000', 'calculated_value': '1000000'}"
mr_19,Please audit the value of us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod for 2023-04-01 to 2023-06-30 in the 10q filing released by tesi on 2024-06-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,tesi,2024-06-30,us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,2023-04-01 to 2023-06-30,"{'extracted_value': '-600,000', 'calculated_value': '600,000'}"
mr_20,Please audit the value of us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate for 2021-12-31 in the 10k filing released by noc on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,noc,2022-12-31,us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,2021-12-31,"{'extracted_value': '-0.0293', 'calculated_value': '0.0293'}"
mr_21,Please audit the value of us-gaap:OtherExpenses for 2022-01-01 to 2022-09-30 in the 10q filing released by vivc on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,vivc,2022-09-30,us-gaap:OtherExpenses,2022-01-01 to 2022-09-30,"{'extracted_value': '-52,292', 'calculated_value': '52,292'}"
mr_22,Please audit the value of us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate for 2023-01-01 to 2023-12-31 in the 10k filing released by noc on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,noc,2022-12-31,us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,2023-01-01 to 2023-12-31,"{'extracted_value': '-0.0554', 'calculated_value': '0.0554'}"
mr_23,Please audit the value of ncmi:TheaterAccessFeesAndRevenueShare for 2021-01-01 to 2021-12-30 in the 10k filing released by ncmi on 2022-12-29. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,ncmi,2022-12-29,ncmi:TheaterAccessFeesAndRevenueShare,2021-01-01 to 2021-12-30,"{'extracted_value': '51,100,000', 'calculated_value': '34,300,000'}"
mr_24,Please audit the value of us-gaap:CommonStockValue for 2023-01-31 in the 10k filing released by lbsr on 2023-01-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,lbsr,2023-01-31,us-gaap:CommonStockValue,2023-01-31,"{'extracted_value': '186', 'calculated_value': '1'}"
mr_25,Please audit the value of us-gaap:Revenues for 2019-01-01 to 2019-12-31 in the 10k filing released by so on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,so,2021-12-31,us-gaap:Revenues,2019-01-01 to 2019-12-31,"{'extracted_value': '21,419,000,000', 'calculated_value': '16,991,000,000'}"
mr_26,Please audit the value of us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax for 2023-01-01 to 2023-06-30 in the 10q filing released by mlp on 2023-06-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,mlp,2023-06-30,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,2023-01-01 to 2023-06-30,"{'extracted_value': '19,000', 'calculated_value': '433,000'}"
mr_27,Please audit the value of us-gaap:HeldToMaturitySecurities for 2022-03-31 in the 10q filing released by onb on 2022-03-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,onb,2022-03-31,us-gaap:HeldToMaturitySecurities,2022-03-31,"{'extracted_value': '2,082,242,000', 'calculated_value': '2,082,302,000'}"
mr_28,Please audit the value of us-gaap:PreferredStockValue for 2023-12-31 in the 10q filing released by pcyn on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,pcyn,2023-12-31,us-gaap:PreferredStockValue,2023-12-31,"{'extracted_value': '0', 'calculated_value': '126,660'}"
mr_29,Please audit the value of us-gaap:GainsLossesOnExtinguishmentOfDebt for 2023-01-01 to 2023-12-31 in the 10k filing released by beep on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,beep,2023-12-31,us-gaap:GainsLossesOnExtinguishmentOfDebt,2023-01-01 to 2023-12-31,"{'extracted_value': '0', 'calculated_value': '-105,000'}"
mr_30,Please audit the value of us-gaap:Revenues for 2021-01-01 to 2021-12-31 in the 10k filing released by so on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,so,2021-12-31,us-gaap:Revenues,2021-01-01 to 2021-12-31,"{'extracted_value': '23,113,000,000', 'calculated_value': '3,163,000,000'}"
mr_31,Please audit the value of ncmi:TheaterAccessFeesAndRevenueShare for 2021-12-31 to 2022-12-29 in the 10k filing released by ncmi on 2022-12-29. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,ncmi,2022-12-29,ncmi:TheaterAccessFeesAndRevenueShare,2021-12-31 to 2022-12-29,"{'extracted_value': '82,300,000', 'calculated_value': '59,400,000'}"
mr_32,Please audit the value of us-gaap:StockholdersEquity for 2022-09-30 in the 10q filing released by gstc on 2024-06-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,gstc,2024-06-30,us-gaap:StockholdersEquity,2022-09-30,"{'extracted_value': '-1,194,560', 'calculated_value': '1,639'}"
mr_33,Please audit the value of us-gaap:Revenues for 2019-01-01 to 2019-12-31 in the 10k filing released by aep on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,aep,2021-12-31,us-gaap:Revenues,2019-01-01 to 2019-12-31,"{'extracted_value': '15,561,400,000', 'calculated_value': '61,700,000'}"
mr_34,Please audit the value of us-gaap:DividendsCommonStock for 2023-01-01 to 2023-12-31 in the 10k filing released by sah on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,sah,2023-12-31,us-gaap:DividendsCommonStock,2023-01-01 to 2023-12-31,"{'extracted_value': '26,000,000', 'calculated_value': '13,900,000'}"
mr_35,Please audit the value of us-gaap:Revenues for 2021-01-01 to 2021-12-31 in the 10k filing released by so on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,so,2021-12-31,us-gaap:Revenues,2021-01-01 to 2021-12-31,"{'extracted_value': '23,113,000,000', 'calculated_value': '4,380,000,000'}"
mr_36,Please audit the value of us-gaap:PreferredStockValue for 2022-06-30 in the 10q filing released by phil on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,phil,2022-12-31,us-gaap:PreferredStockValue,2022-06-30,"{'extracted_value': '2,440', 'calculated_value': '600'}"
mr_37,Please audit the value of us-gaap:PreferredStockValue for 2024-03-31 in the 10q filing released by jksm on 2024-03-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,jksm,2024-03-31,us-gaap:PreferredStockValue,2024-03-31,"{'extracted_value': '0', 'calculated_value': '50'}"
mr_38,Please audit the value of us-gaap:StockholdersEquity for 2022-09-30 in the 10q filing released by gstc on 2024-03-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,gstc,2024-03-31,us-gaap:StockholdersEquity,2022-09-30,"{'extracted_value': '-1,194,560', 'calculated_value': '1,639'}"
mr_39,Please audit the value of us-gaap:StockholdersEquity for 2024-06-30 in the 10q filing released by gstc on 2024-06-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,gstc,2024-06-30,us-gaap:StockholdersEquity,2024-06-30,"{'extracted_value': '-1,624,932', 'calculated_value': '1,129'}"
mr_40,Please audit the value of us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax for 2020-10-01 to 2020-12-31 in the 10q filing released by intl on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,intl,2021-12-31,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,2020-10-01 to 2020-12-31,"{'extracted_value': '255,500,000', 'calculated_value': '142,400,000'}"
mr_41,Please audit the value of us-gaap:PreferredStockValue for 2023-12-31 in the 10q filing released by jksm on 2024-03-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,jksm,2024-03-31,us-gaap:PreferredStockValue,2023-12-31,"{'extracted_value': '0', 'calculated_value': '100'}"
mr_42,Please audit the value of us-gaap:StockholdersEquity for 2023-09-30 in the 10q filing released by gstc on 2024-06-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,gstc,2024-06-30,us-gaap:StockholdersEquity,2023-09-30,"{'extracted_value': '-1,433,861', 'calculated_value': '1,129'}"
mr_43,Please audit the value of us-gaap:PreferredStockValue for 2023-06-30 in the 10q filing released by pcyn on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,pcyn,2023-12-31,us-gaap:PreferredStockValue,2023-06-30,"{'extracted_value': '0', 'calculated_value': '126,860'}"
mr_44,Please audit the value of us-gaap:SellingAndMarketingExpense for 2021-01-01 to 2021-12-30 in the 10k filing released by ncmi on 2022-12-29. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,ncmi,2022-12-29,us-gaap:SellingAndMarketingExpense,2021-01-01 to 2021-12-30,"{'extracted_value': '34,700,000', 'calculated_value': '100,000'}"
mr_45,Please audit the value of us-gaap:Revenues for 2022-01-01 to 2022-09-30 in the 10q filing released by aep on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,aep,2022-09-30,us-gaap:Revenues,2022-01-01 to 2022-09-30,"{'extracted_value': '14,758,400,000', 'calculated_value': '429,400,000'}"
mr_46,Please audit the value of ncmi:TheaterAccessFees for 2022-12-30 to 2023-12-28 in the 10k filing released by ncmi on 2023-12-28. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,ncmi,2023-12-28,ncmi:TheaterAccessFees,2022-12-30 to 2023-12-28,"{'extracted_value': '43,100,000', 'calculated_value': '16,500,000'}"
mr_47,Please audit the value of us-gaap:ProfitLoss for 2022-05-01 to 2022-10-31 in the 10q filing released by ima on 2022-10-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ima,2022-10-31,us-gaap:ProfitLoss,2022-05-01 to 2022-10-31,"{'extracted_value': '-813,202', 'calculated_value': '-200,488'}"
mr_48,Please audit the value of us-gaap:NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic for 2023-01-01 to 2023-09-30 in the 10q filing released by fifg on 2023-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,fifg,2023-09-30,us-gaap:NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,2023-01-01 to 2023-09-30,"{'extracted_value': '-609,959', 'calculated_value': '-602,069'}"
mr_49,Please audit the value of us-gaap:NetCashProvidedByUsedInFinancingActivities for 2022-10-01 to 2022-12-31 in the 10q filing released by pati on 2022-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,pati,2022-12-31,us-gaap:NetCashProvidedByUsedInFinancingActivities,2022-10-01 to 2022-12-31,"{'extracted_value': '117,000', 'calculated_value': '127,000'}"
mr_50,Please audit the value of us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic for 2022-01-01 to 2022-09-30 in the 10q filing released by rbt on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,rbt,2022-09-30,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,2022-01-01 to 2022-09-30,"{'extracted_value': '-17,808,000', 'calculated_value': '-212,064,000'}"
mr_51,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2022-01-01 to 2022-09-30 in the 10q filing released by ttcm on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ttcm,2022-09-30,us-gaap:NetCashProvidedByUsedInOperatingActivities,2022-01-01 to 2022-09-30,"{'extracted_value': '-517,099', 'calculated_value': '776,417'}"
mr_52,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2022-01-01 to 2022-09-30 in the 10q filing released by asck on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,asck,2022-09-30,us-gaap:NetCashProvidedByUsedInOperatingActivities,2022-01-01 to 2022-09-30,"{'extracted_value': '-164,595', 'calculated_value': '166,303'}"
mr_53,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2024-01-01 to 2024-09-30 in the 10q filing released by crwe on 2024-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,crwe,2024-09-30,us-gaap:NetCashProvidedByUsedInOperatingActivities,2024-01-01 to 2024-09-30,"{'extracted_value': '-47666', 'calculated_value': '7284710'}"
mr_54,Please audit the value of us-gaap:NetIncomeLoss for 2022-01-01 to 2022-09-30 in the 10q filing released by ttcm on 2022-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ttcm,2022-09-30,us-gaap:NetIncomeLoss,2022-01-01 to 2022-09-30,"{'extracted_value': '-646,758', 'calculated_value': '-710,762'}"
mr_55,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2021-01-01 to 2021-12-31 in the 10k filing released by tvty on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,tvty,2021-12-31,us-gaap:NetCashProvidedByUsedInOperatingActivities,2021-01-01 to 2021-12-31,"{'extracted_value': '87,123,000', 'calculated_value': '-122,705,000'}"
mr_56,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2020-10-01 to 2021-09-30 in the 10k filing released by airfox on 2021-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,airfox,2021-09-30,us-gaap:NetCashProvidedByUsedInOperatingActivities,2020-10-01 to 2021-09-30,"{'extracted_value': '-4,771,555', 'calculated_value': '48,795,405'}"
mr_57,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2021-01-01 to 2021-12-31 in the 10k filing released by cvt on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,cvt,2021-12-31,us-gaap:NetCashProvidedByUsedInOperatingActivities,2021-01-01 to 2021-12-31,"{'extracted_value': '122,196,000', 'calculated_value': '95,552,000'}"
mr_58,Please audit the value of us-gaap:NetCashProvidedByUsedInFinancingActivities for 2022-05-01 to 2022-10-31 in the 10q filing released by rcat on 2022-10-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,rcat,2022-10-31,us-gaap:NetCashProvidedByUsedInFinancingActivities,2022-05-01 to 2022-10-31,"{'extracted_value': '-928,826', 'calculated_value': '-942,230'}"
mr_59,Please audit the value of us-gaap:NonoperatingIncomeExpense for 2024-01-01 to 2024-09-30 in the 10q filing released by nbh on 2024-09-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,nbh,2024-09-30,us-gaap:NonoperatingIncomeExpense,2024-01-01 to 2024-09-30,"{'extracted_value': '998,557', 'calculated_value': '258,451'}"
mr_60,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2023-01-01 to 2023-12-31 in the 10k filing released by cei on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,cei,2023-12-31,us-gaap:NetCashProvidedByUsedInOperatingActivities,2023-01-01 to 2023-12-31,"{'extracted_value': '-5,342,265', 'calculated_value': '-4,038,018'}"
mr_61,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2023-10-01 to 2023-12-31 in the 10q filing released by king on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,king,2023-12-31,us-gaap:NetCashProvidedByUsedInOperatingActivities,2023-10-01 to 2023-12-31,"{'extracted_value': '-51,805', 'calculated_value': '61,155'}"
mr_62,Please audit the value of us-gaap:NetCashProvidedByUsedInInvestingActivities for 2021-04-01 to 2021-12-31 in the 10q filing released by ea on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ea,2021-12-31,us-gaap:NetCashProvidedByUsedInInvestingActivities,2021-04-01 to 2021-12-31,"{'extracted_value': '2771000000', 'calculated_value': '-2771000000'}"
mr_63,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2023-04-01 to 2023-12-31 in the 10q filing released by caro on 2023-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,caro,2023-12-31,us-gaap:NetCashProvidedByUsedInOperatingActivities,2023-04-01 to 2023-12-31,"{'extracted_value': '-212,200', 'calculated_value': '337,508'}"
mr_64,Please audit the value of us-gaap:LiabilitiesNoncurrent for 2022-10-31 in the 10q filing released by rcat on 2022-10-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,rcat,2022-10-31,us-gaap:LiabilitiesNoncurrent,2022-10-31,"{'extracted_value': '1,295,824', 'calculated_value': '694,581'}"
mr_65,Please audit the value of us-gaap:StockholdersEquity for 2021-12-31 in the 10k filing released by cour on 2021-12-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10k,cour,2021-12-31,us-gaap:StockholdersEquity,2021-12-31,"{'extracted_value': '741,513,000', 'calculated_value': '742,017,000'}"
mr_66,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2022-02-01 to 2022-10-31 in the 10q filing released by ebi on 2022-10-31. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,ebi,2022-10-31,us-gaap:NetCashProvidedByUsedInOperatingActivities,2022-02-01 to 2022-10-31,"{'extracted_value': '-1,523,000', 'calculated_value': '9,647,000'}"
mr_67,Please audit the value of us-gaap:NetCashProvidedByUsedInOperatingActivities for 2024-01-01 to 2024-06-30 in the 10q filing released by boty on 2024-06-30. What's the reported value? What's the actual value calculated from the relevant linkbases and US-GAAP taxonomy?,10q,boty,2024-06-30,us-gaap:NetCashProvidedByUsedInOperatingActivities,2024-01-01 to 2024-06-30,"{'extracted_value': '-92,346', 'calculated_value': '1,588,524'}"
